question;answer;options
"Welche Art von Daten fällt unter die Geheimhaltungspflichten im Allgemeinen?";"Beides, sowie weitere Arten von Daten";"Nur Kundendaten,Nur Geschäftsgeheimnisse,Beides, sowie weitere Arten von Daten,Keine der oben genannten"
"Wann ist das Datenschutzrecht anwendbar?";"Bei beiden Arten von Daten";"Nur bei sensiblen Daten,Nur bei banalen Daten,Bei beiden Arten von Daten,Bei keiner der beiden Arten"
"Wo ist der Datenschutz in der Schweiz geregelt?";"In beiden, sowie in Sonderbestimmungen";"Nur im Datenschutzgesetz,Nur in der Datenschutzverordnung,In beiden, sowie in Sonderbestimmungen,Nirgendwo"
"Was ist der Hauptzweck des schweizerischen Datenschutzgesetzes?";"Schutz der Persönlichkeit und Grundrechte der Personen";"Schutz der Daten,Schutz der Unternehmen,Schutz der Persönlichkeit und Grundrechte der Personen,Schutz der Regierung"
"Was sind besonders schützenswerte Personendaten?";"Beides, sowie weitere Kategorien";"Nur Gesundheitsdaten,Nur politische Meinungen,Beides, sowie weitere Kategorien,Keine der oben genannten"
"Was ist Profiling im Kontext des Datenschutzes?";"Automatisierte Verarbeitung personenbezogener Daten zur Bewertung persönlicher Aspekte";"Sammeln von Daten für Marketingzwecke,Automatisierte Verarbeitung personenbezogener Daten zur Bewertung persönlicher Aspekte,Überwachung von Mitarbeitern am Arbeitsplatz,Keine der oben genannten"
"Was ist der Geltungsbereich des schweizerischen Datenschutzgesetzes?";"In der Schweiz und bei Sachverhalten, die sich in der Schweiz auswirken";"Nur in der Schweiz,Nur im Ausland,In der Schweiz und bei Sachverhalten, die sich in der Schweiz auswirken,Weltweit"
"Warum sind technologieneutrale Formulierungen im Datenschutzgesetz wichtig?";"Um das Gesetz flexibel und anwendbar auf zukünftige Technologien zu halten";"Um das Gesetz komplizierter zu machen,Um das Gesetz flexibel und anwendbar auf zukünftige Technologien zu halten,Um die Regierung zu schützen,Um Unternehmen zu schützen"
"Was ist der verfassungsrechtliche Grundsatz der informationellen Selbstbestimmung?";"Schutz der Privatsphäre und der persönlichen Daten";"Schutz der Daten,Schutz der Unternehmen,Schutz der Privatsphäre und der persönlichen Daten,Schutz der Regierung"
"Was sind die Ausnahmen für die Anwendung des schweizerischen Datenschutzgesetzes?";"Personendaten für persönlichen Gebrauch und hängige Zivil- und Strafverfahren";"Personendaten für persönlichen Gebrauch und hängige Zivil- und Strafverfahren,Nur bei sensiblen Daten,Nur bei banalen Daten,Keine der oben genannten"
"Welche Daten sind nicht besonders schützenswert?";"Öffentlich zugängliche Daten";"Öffentlich zugängliche Daten,Gesundheitsdaten,Politische Meinungen,Alle der oben genannten"
"Welche Institution ist für den Datenschutz in der Schweiz zuständig?";"Der Eidgenössische Datenschutz- und Öffentlichkeitsbeauftragte (EDÖB)";"Der Eidgenössische Datenschutz- und Öffentlichkeitsbeauftragte (EDÖB),Die Bundespolizei,Die Bundeskanzlei,Keine der oben genannten"
"Welche Rechte haben Betroffene nach dem schweizerischen Datenschutzgesetz?";"Recht auf Auskunft, Berichtigung, Löschung und Widerspruch";"Recht auf Auskunft,Recht auf Auskunft und Berichtigung,Recht auf Auskunft, Berichtigung, Löschung und Widerspruch,Keine der oben genannten"
"Welche Daten dürfen ohne Einwilligung verarbeitet werden?";"Daten, die für die Erfüllung eines Vertrags notwendig sind";"Alle Daten,Daten, die für die Erfüllung eines Vertrags notwendig sind,Nur öffentlich zugängliche Daten,Keine der oben genannten"
"Welche Sanktionen können bei Verstößen gegen das Datenschutzgesetz verhängt werden?";"Bußgelder und strafrechtliche Verfolgung";"Bußgelder,Bußgelder und strafrechtliche Verfolgung,Nur Verwarnungen,Keine der oben genannten"
"Welche Daten dürfen Unternehmen speichern?";"Daten, die für den angegebenen Zweck notwendig sind";"Alle Daten,Daten, die für den angegebenen Zweck notwendig sind,Nur öffentlich zugängliche Daten,Keine der oben genannten"
"Wie lange dürfen personenbezogene Daten gespeichert werden?";"So lange wie für den Zweck der Verarbeitung notwendig";"Unbegrenzt,So lange wie für den Zweck der Verarbeitung notwendig,Nur für einen begrenzten Zeitraum,Keine der oben genannten"
"Welche Daten müssen besonders gesichert werden?";"Besonders schützenswerte Daten und Profildaten";"Alle Daten,Besonders schützenswerte Daten und Profildaten,Nur öffentlich zugängliche Daten,Keine der oben genannten"
"Welche technischen Maßnahmen können für den Datenschutz ergriffen werden?";"Verschlüsselung, Zugangskontrolle und regelmäßige Sicherheitsüberprüfungen";"Verschlüsselung,Nur Passwortschutz,Verschlüsselung, Zugangskontrolle und regelmäßige Sicherheitsüberprüfungen,Keine der oben genannten"